epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,43.5409,1.26127,1.09769,1.09312,0.71411,0.5677,0.66461,0.39653,1.41477,1.26014,1.15449,0.00163865,0.00163865,0.00163865
75,44.1038,1.26953,1.04885,1.08218,0.71411,0.5677,0.66461,0.39653,1.41477,1.26014,1.15449,0.0016337,0.0016337,0.0016337
76,44.749,1.32318,1.0591,1.08774,0.72144,0.58861,0.67612,0.39566,1.39964,1.08107,1.18887,0.00162875,0.00162875,0.00162875
77,45.3053,1.42373,1.10683,1.12442,0.72144,0.58861,0.67612,0.39566,1.39964,1.08107,1.18887,0.0016238,0.0016238,0.0016238
78,45.8748,1.19679,1.03465,1.05949,0.66126,0.60795,0.64083,0.37322,1.39236,1.13814,1.17664,0.00161885,0.00161885,0.00161885
79,46.4257,1.16023,1.02828,1.05672,0.66126,0.60795,0.64083,0.37322,1.39236,1.13814,1.17664,0.0016139,0.0016139,0.0016139
80,47.0068,1.23864,1.20388,1.13083,0.61905,0.54545,0.57903,0.33844,1.48209,1.35773,1.22417,0.00160895,0.00160895,0.00160895
81,47.618,1.18167,0.95693,1.0355,0.61905,0.54545,0.57903,0.33844,1.48209,1.35773,1.22417,0.001604,0.001604,0.001604
82,48.1781,1.22117,0.98127,1.05923,0.63198,0.54545,0.56863,0.34313,1.46374,1.3818,1.21753,0.00159905,0.00159905,0.00159905
83,48.761,1.14422,0.96504,1.02828,0.63198,0.54545,0.56863,0.34313,1.46374,1.3818,1.21753,0.0015941,0.0015941,0.0015941
84,49.3259,1.27477,1.09069,1.09366,0.59157,0.53977,0.54342,0.30313,1.51372,1.40252,1.23499,0.00158915,0.00158915,0.00158915
85,49.859,1.17969,1.00011,1.06342,0.59157,0.53977,0.54342,0.30313,1.51372,1.40252,1.23499,0.0015842,0.0015842,0.0015842
86,50.4276,1.21528,1.00444,1.06587,0.63799,0.58079,0.56877,0.32314,1.4366,1.22771,1.21295,0.00157925,0.00157925,0.00157925
87,50.9769,1.28994,1.03733,1.08107,0.63799,0.58079,0.56877,0.32314,1.4366,1.22771,1.21295,0.0015743,0.0015743,0.0015743
88,51.5462,1.21615,0.9808,1.05504,0.65289,0.58523,0.61229,0.35507,1.41366,1.12803,1.21525,0.00156935,0.00156935,0.00156935
89,52.1119,1.27751,0.98406,1.04152,0.65289,0.58523,0.61229,0.35507,1.41366,1.12803,1.21525,0.0015644,0.0015644,0.0015644
90,52.7425,1.25083,1.06,1.07214,0.74773,0.54545,0.61955,0.36122,1.42866,1.12616,1.21039,0.00155945,0.00155945,0.00155945
91,53.2783,1.27993,1.02866,1.08014,0.74773,0.54545,0.61955,0.36122,1.42866,1.12616,1.21039,0.0015545,0.0015545,0.0015545
